Category                                 | RTE type             | Interface                                
RTE Data Exchange                        | Rte_IsUpdated        | CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeReset_0x0570 
HW Variant Interface                     | Rte_IStatus          | RRGLCyclic_PpPFProvidedData_DeVARHWVariant 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpPSD15_DePSD06m0             
Diagnostic, Global                       | Rte_Read             | CtApRoadGraphLight_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpRSRMV_DeMVRoadSignRecognition 
RTE Data Exchange                        | Rte_Read             | CtApRoadGraphLight_PpDiagCoding_DePermitCodingPersistence 
LCS                                      | Rte_IStatus          | RRGLCyclic_PpPFProvidedData_DeLCSSystemState 
Time Service, Convert AGT                | Rte_Call             | CtApRoadGraphLight_PpPFServer_TS_ConvertAgt2Zgt 
RTE Data Exchange                        | Rte_IWrite           | RRGLCyclic_PpRGLVZE_DeTraceData          
LCS                                      | Rte_IRead            | RRGLCyclic_PpPFProvidedData_DeLCSSSHState 
IF-Set Version                           | Rte_IRead            | RRGLCyclic_PpPFProvidedData_DeIFSETVersion 
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGData 
RTE Data Exchange                        | Rte_IWriteRef        | RRGLCyclic_PpRGLVZE_DePduGrp_VZE_02      
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphRGLDIAGData 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpFRVZE_DeBVTS                
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpFRVZE_DeBVTS                
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpFRVZE_DeTraceData           
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpObjOBFMV_DeOBFObjMVMOD      
RTE Data Exchange                        | Rte_IWriteRef        | RRGLCyclic_PpRGLVZE_DePduGrp_VZE_03      
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpPFProvidedData_DeTotalSysRestartCnt 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpPSD15_DePSD06m4             
LCS                                      | Rte_IStatus          | RRGLCyclic_PpPFProvidedData_DeLCSAPHState 
RTE Data Exchange                        | Rte_IWriteRef        | RRGLCyclic_PpRGLVZE_DePduGrp_BVTS_xx     
Diagnostic, Coding                       | Rte_IsUpdated        | CtApRoadGraphLight_PpDiagCoding_DeCoding 
LCS                                      | Rte_IRead            | RRGLCyclic_PpPFProvidedData_DeLCSAPHState 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpFRVZE_DeTraceData           
RTE Data Exchange                        | Rte_IWriteRef        | RRGLCyclic_PpRGLVZE_DePduGrp_VZE_01      
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpPSD15_DePSDLR01m0           
Time Service, Convert ZGT                | Rte_Call             | CtApRoadGraphLight_PpPFServer_TS_ConvertZgt2Agt 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpPFProvidedData_DeCurConsecutiveSysRestartCnt 
RTE Data Exchange                        | Rte_IRead            | RRGLCyclic_PpFRVZE_DePduGrp_VZE_01       
RTE Data Exchange                        | Rte_IWriteRef        | RRGLCyclic_PpRGLVZE_DeBVTS               
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpPSD15_DePSD04               
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpFRVZE_DePduGrp_BVTS_xx      
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpPSD15_DePSD05               
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpOBFLightOutObjects_DeObjectListOBFLightOut 
RTE Data Exchange                        | Rte_IWrite           | RRGLCyclic_PpRGLVZE_DePduGrp_VZE_05      
LCS                                      | Rte_IRead            | RRGLCyclic_PpPFProvidedData_DeLCSSRHState 
RTE Data Exchange                        | Rte_IsUpdated        | CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Plugins_0x0556 
RTE Data Exchange                        | Rte_IsUpdated        | CtApRoadGraphLight_PpDiagRoadGraphLightRead_DeRoad_Graph_Light_Diagnostics_0x0559 
IF-Set Version                           | Rte_IStatus          | RRGLCyclic_PpPFProvidedData_DeIFSETVersion 
LCS                                      | Rte_IRead            | RRGLCyclic_PpPFProvidedData_DeLCSMVHState 
RTE Data Exchange                        | Rte_IStatus          | RRGLCyclic_PpFRVZE_DePduGrp_VZE_02       
------------------------------------     | -----------------    | ------------------------------------   
#Total Interfaces: 100
