Category                                 | RTE type             | Interface                                
Time Service, Convert AGT                | Rte_Call             | CtCdUltraSonicProcessing_PpPFServer_TS_ConvertAgt2Zgt 
RTE Data Exchange                        | Rte_IStatus          | RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeStateConfig 
RTE Data Exchange                        | Rte_IStatus          | RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeVdimCfg 
RTE Data Exchange                        | Rte_IRead            | RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeVctmCfg 
RTE Data Exchange                        | Rte_Read             | CtCdUltraSonicProcessing_PpPdParkControlRead_DeCustomerCfg_RW_Normal 
RTE Data Exchange                        | Rte_IRead            | RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeMopmCfg 
HW Variant Interface                     | Rte_IStatus          | RUltraSonicProcessing40ms_PpPFProvidedData_DeVARHWVariant 
LCS                                      | Rte_IStatus          | RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSSSHState 
RTE Data Exchange                        | Rte_IsUpdated        | CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DePlatform_zFAS_Logging_0x0503 
UDS Diagnostic, Anpassung                | Rte_Read             | CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DeProductionmode_0x04FE 
RTE Data Exchange                        | Rte_IRead            | RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeFilmCfg 
RTE Data Exchange                        | Rte_IStatus          | RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeMopmCfg 
------------------------------------     | -----------------    | ------------------------------------   
#Total Interfaces: 61
