Category                                 | RTE type             | Interface                                
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestPropFSG_VPS_ExtCamera_Config_Status_BAP_RequestByteSequence 
Diagnostic, Global                       | Rte_Read             | CtApTVCntrl_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA 
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeFV_Status_BAP_RequestByteSequence 
RTE Data Exchange                        | Rte_IStatus          | RTVCntrl_PpFRParkControlout_DePduGrp_ZFAS_01 
RTE Data Exchange                        | Rte_IWriteRef        | RTVCntrl_PpFRTVCntrlOut_DeTraceData      
RTE Data Exchange                        | Rte_IRead            | RTVCntrl_PpPFHwMeasurements_DeVBAT_MAIN  
Diagnostic, Global                       | Rte_IsUpdated        | CtApTVCntrl_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB 
RTE Data Exchange                        | Rte_Read             | CtApTVCntrl_PpDiagCoding_DePermitCodingPersistence 
Persistency, DataSet                     | Rte_IRead            | RTVCntrl_PpDsTVCntrlDataSet_DeApplicationParamsTVCNTRLDS_Dmy 
Time Service, Convert ZGT                | Rte_Call             | CtApTVCntrl_PpPFServer_TS_ConvertZgt2Agt 
BAP                                      | Rte_Call             | CtApTVCntrl_BapPropInit_VPS_BAP_Config_BAP_InitSendBufferByteSequence 
LCS                                      | Rte_IRead            | RTVCntrl_PpPFProvidedData_DeLCSSRHState  
RTE Data Exchange                        | Rte_IWrite           | RTVCntrl_PpFRTVCntrlOut_DeTraceData      
RTE Data Exchange                        | Rte_IRead            | RTVCntrl_PpFRParkControlout_DePduGrp_IPA_01 
Diagnostic, Coding                       | Rte_IsUpdated        | CtApTVCntrl_PpDiagCoding_DeCoding        
Persistency, Data write                  | Rte_Write            | CtApTVCntrl_PpPdTVCntrlWrite_DeFreezeFrameTvControl_Critical 
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestPropFSG_VPS_DefaultModeRV_Status_BAP_RequestByteSequence 
RTE Data Exchange                        | Rte_IStatus          | RTVCntrl_PpFRParkControlout_DePduGrp_IPA_02 
RTE Data Exchange                        | Rte_IStatus          | RTVCntrl_PpPFHwMeasurements_DeVBAT_MAIN  
RTE Data Exchange                        | Rte_IRead            | RTVCntrl_PpFRParkControlout_DePduGrp_PLA2_Status_02 
RTE Data Exchange                        | Rte_IRead            | RTVCntrl_PpFRParkControlout_DePduGrp_PLA2_02 
LCS                                      | Rte_IRead            | RTVCntrl_PpPFProvidedData_DeLCSAPHState  
LCS                                      | Rte_IStatus          | RTVCntrl_PpPFProvidedData_DeLCSSSHState  
IF-Set Version                           | Rte_IStatus          | RTVCntrl_PpPFProvidedData_DeIFSETVersion 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTVCntrl_PpDiagTVCntrlRead_DeProductionmode_0x04FE 
HW Variant Interface                     | Rte_IRead            | RTVCntrl_PpPFProvidedData_DeVARHWVariant 
IF-Set Version                           | Rte_IRead            | RTVCntrl_PpPFProvidedData_DeIFSETVersion 
BAP                                      | Rte_Call             | CtApTVCntrl_BapRequestPropFSG_VPS_3D_BirdView_Status_BAP_RequestByteSequence 
RTE Data Exchange                        | Rte_IStatus          | RTVCntrl_PpFRParkControlout_DePduGrp_IPA_01 
RTE Data Exchange                        | Rte_IStatus          | RTVCntrl_PpFRParkControlout_DePduGrp_Parkhilfe2_01 
RTE Data Exchange                        | Rte_IStatus          | RTVCntrl_PpFRParkControlout_DePduGrp_PLA2_01 
------------------------------------     | -----------------    | ------------------------------------   
#Total Interfaces: 85
