Category                                 | RTE type             | Interface                                
RTE Data Exchange                        | Rte_IStatus          | RQVAmain_PpFRParkControlout_DePduGrp_Parkhilfe2_01 
BAP                                      | Rte_IsUpdated        | CtApKASQVA_Bap_Allowed_DeBapAllowed      
RTE Data Exchange                        | Rte_IRead            | RQVAmain_PpFRParkControlout_DePduGrp_IPA_02 
RTE Data Exchange                        | Rte_IRead            | RQVAmain_PpFRParkControlout_DePduGrp_Parkhilfe2_04 
BAP                                      | Rte_Result           | CtApKASQVA_BapRequestError_FTA_FSG_Control_BAP_RequestError 
BAP                                      | Rte_Result           | CtApKASQVA_BapRequestError_FTA_FTA_SensorData_BAP_RequestError 
LCS                                      | Rte_IRead            | RQVAmain_PpPFProvidedData_DeLCSSSHState  
BAP                                      | Rte_Result           | CtApKASQVA_BapRequestError_FTA_FSG_OperationState_BAP_RequestError 
LCS                                      | Rte_IStatus          | RQVAmain_PpPFProvidedData_DeLCSSystemState 
RTE Data Exchange                        | Rte_IStatus          | RQVAmain_PpPFProvidedData_DeCurConsecutiveSysRestartCnt 
RTE Data Exchange                        | Rte_IStatus          | RQVAmain_PpFRParkControlout_DePduGrp_ZFAS_01 
BAP                                      | Rte_Call             | CtApKASQVA_BapRequestError_FTA_FSG_Control_BAP_RequestError 
------------------------------------     | -----------------    | ------------------------------------   
#Total Interfaces: 71
