Category                                 | RTE type             | Interface                                
Diagnostic, Set DTC Event                | Rte_Call             | CtApTSF_PpEventHandling_SetEventStatus   
RTE Data Exchange                        | Rte_Call             | CtApTSF_PpRGApiLight_RGApi_GetAttributeData 
RTE Data Exchange                        | Rte_IStatus          | RApTSFMain_PpPFHwMeasurements_DeVBAT_MAIN 
BAP                                      | Rte_Call             | CtApTSF_BapRequestPropFSG_VZA_FSG_OperationState_Status_BAP_RequestUInt8 
RTE Data Exchange                        | Rte_Call             | CtApTSF_PpRGApiLight_RGApi_GetLoadAttributePool 
RTE Data Exchange                        | Rte_Call             | CtApTSF_PpRGApiLight_RGApi_GetTreeConfiguration 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTSF_PpDiagCoding_DePermitCodingPersistence 
Diagnostic, Global                       | Rte_Read             | CtApTSF_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500 
LCS                                      | Rte_IStatus          | RApTSFMain_PpPFProvidedData_DeLCSAPHState 
RTE Data Exchange                        | Rte_Read             | CtApTSF_PpDiagCoding_DePermitCodingPersistence 
RTE Data Exchange                        | Rte_Call             | CtApTSF_PpRGApiLight_RGApi_GetSegmentData 
RTE Data Exchange                        | Rte_IsUpdated        | CtApTSF_PpDiagTSFRead_DeRoad_sign_recognition_fusion_mode_0x3B63 
Time Service, Convert ZGT                | Rte_Call             | CtApTSF_PpPFServer_TS_ConvertZgt2Agt     
BAP                                      | Rte_Call             | CtApTSF_BapRequestError_VZA_RoadSignFilter_BAP_RequestError 
BAP                                      | Rte_Call             | CtApTSF_BapRequestError_VZA_Trailermode_BAP_RequestError 
HW Variant Interface                     | Rte_IStatus          | RApTSFMain_PpPFProvidedData_DeVARHWVariant 
LCS                                      | Rte_IRead            | RApTSFMain_PpPFProvidedData_DeLCSSystemState 
Persistency, Data write                  | Rte_Write            | CtApTSF_PpPdTSFWrite_DeCtAPTSFDefaults_Normal 
BAP                                      | Rte_Result           | CtApTSF_BapRequestError_VZA_TrailerSpeedLimit_BAP_RequestError 
LCS                                      | Rte_IStatus          | RApTSFMain_PpPFProvidedData_DeLCSSystemState 
RTE Data Exchange                        | Rte_IRead            | RApTSFMain_PpPFProvidedData_DeCurConsecutiveSysRestartCnt 
HW Variant Interface                     | Rte_IRead            | RApTSFMain_PpPFProvidedData_DeVARHWVariant 
IF-Set Version                           | Rte_IStatus          | RApTSFMain_PpPFProvidedData_DeIFSETVersion 
RTE Data Exchange                        | Rte_IStatus          | RApTSFMain_PpRGExtPSD_DeRGExtPSD         
RTE Data Exchange                        | Rte_IStatus          | RApTSFMain_PpPFProvidedData_DeCurConsecutiveSysRestartCnt 
RTE Data Exchange                        | Rte_IStatus          | RApTSFMain_PpFoDFunctionActivationState_DeFoDFunctionActivationState 
LCS                                      | Rte_IStatus          | RApTSFMain_PpPFProvidedData_DeLCSMVHState 
BAP                                      | Rte_Result           | CtApTSF_BapRequestError_VZA_SpeedWarnThreshold_BAP_RequestError 
RTE Data Exchange                        | Rte_IRead            | RApTSFMain_PpFRRGout_DeTraceData         
RTE Data Exchange                        | Rte_IWriteRef        | RApTSFMain_PpFRVZE_DePduGrp_BVTS_xx      
Diagnostic, Global                       | Rte_IsUpdated        | CtApTSF_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA 
RTE Data Exchange                        | Rte_IStatus          | RApTSFMain_PpFRRGout_DePduGrp_SDF2_Pos_01 
RTE Data Exchange                        | Rte_IRead            | RApTSFMain_PpPFHwMeasurements_DeTHS      
LCS                                      | Rte_IRead            | RApTSFMain_PpPFProvidedData_DeLCSSRHState 
RTE Data Exchange                        | Rte_IStatus          | RApTSFMain_PpFRRGout_DeTraceData         
RTE Data Exchange                        | Rte_IRead            | RApTSFMain_PpFRVZEin_DePSD04             
RTE Data Exchange                        | Rte_Call             | CtApTSF_PpRGApiLight_RGApi_GetChildrenCount 
RTE Data Exchange                        | Rte_Call             | CtApTSF_PpRGApiLight_RGApi_GetNearestAttributes 
BAP                                      | Rte_Result           | CtApTSF_BapPropInit_VZA_Trailermode_BAP_InitSendBufferUInt8 
RTE Data Exchange                        | Rte_Call             | CtApTSF_PpRGApiLight_RGApi_Query         
BAP                                      | Rte_Call             | CtApTSF_BapRequestError_VZA_FSG_Control_BAP_RequestError 
Persistency, Data read                   | Rte_Read             | CtApTSF_PpPdTSFRead_DeCtAPTSFDefaults_Normal 
RTE Data Exchange                        | Rte_IRead            | RApTSFMain_PpFRVZEin_DePSD06m2           
BAP                                      | Rte_IsUpdated        | CtApTSF_Bap_Allowed_DeBapAllowed         
BAP                                      | Rte_Call             | CtApTSF_BapRequestError_VZA_SystemMessages_BAP_RequestError 
LCS                                      | Rte_IRead            | RApTSFMain_PpPFProvidedData_DeLCSAPHState 
Time Service, AGT                        | Rte_Call             | CtApTSF_PpPFServer_TS_GetAgtTimestamp    
BAP                                      | Rte_Result           | CtApTSF_BapRequestError_VZA_RoadSign_BAP_RequestError 
BAP                                      | Rte_Result           | CtApTSF_BapRequestError_VZA_FSG_Setup_BAP_RequestError 
------------------------------------     | -----------------    | ------------------------------------   
#Total Interfaces: 109
